Product ID,Product Name,Category,Sub-Category,Stock_Actual,Stock_Minimo,Stock_Maximo,Costo_Unitario,Demanda_Diaria_Prom,Lead_Time_Proveedor,Valor_Inventario,Unidad
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,53,5,50,148.8,0.01,18,7886.4,pza
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,247,5,50,316.34,0.06,8,78135.98,pza
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,20,30,300,16.44,0.03,9,328.8,pza
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,77,5,50,179.89,0.03,11,13851.53,pza
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,120,30,300,9.78,0.03,12,1173.6,pza
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,206,5,50,304.66,0.01,7,62759.96,pza
OFF-AR-10002833,Newell 322,Office Supplies,Art,97,30,300,7.89,0.03,6,765.33,pza
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,141,10,100,730.55,0.02,13,103007.55,pza
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,37,30,300,36.94,0.03,9,1366.78,pza
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,92,30,300,67.41,0.03,15,6201.72,pza
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,167,5,50,589.32,0.04,15,98416.44,pza
TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Technology,Phones,207,10,100,551.89,0.02,20,114241.23,pza
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,43,30,300,72.32,0.02,11,3109.76,pza
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,118,30,300,12.56,0.04,15,1482.08,pza
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,81,30,300,66.74,0.04,15,5405.94,pza
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,91,30,300,23.15,0.03,7,2106.65,pza
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,157,30,300,38.86,0.02,14,6101.02,pza
