Product ID,Product Name,Category,Sub-Category,Stock_Actual,Stock_Minimo,Stock_Maximo,Costo_Unitario,Demanda_Diaria_Prom,Lead_Time_Proveedor,Valor_Inventario,Unidad,Valor_Acumulado,Pct_Acumulado,Clase_ABC,Stock_Seguridad,Punto_Reorden,Alerta,Unidades_Vendidas,Ingresos_Total,Num_Ordenes,Rotacion,Origen
TEC-PH-10002834,Google Nexus 5,Technology,Phones,246,10,100,775.51,0.01,20,190775.46,pza,190775.46,0.004313899976970737,A,0.0,0.0,OK,17,3815.788,5,0.07,Real
TEC-AC-10002567,Logitech G602 Wireless Gaming Mouse,Technology,Accessories,243,10,100,766.73,0.02,8,186315.39,pza,377090.85,0.00852694685747777,A,0.0,0.0,OK,26,1871.766,8,0.11,Real
TEC-PH-10001299,Polycom CX300 Desktop Phone USB VoIP phone,Technology,Phones,248,10,100,745.92,0.01,10,184988.16,pza,562079.01,0.0127099818199612,A,0.0,0.0,OK,12,1679.8880000000001,5,0.05,Real
TEC-PH-10001128,Motorola Droid Maxx,Technology,Phones,244,10,100,736.68,0.01,17,179749.92,pza,741828.93,0.01677456735810375,A,0.0,0.0,OK,10,2609.826,4,0.04,Real
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Technology,Machines,230,10,100,759.22,0.02,4,174620.6,pza,916449.53,0.02072316641963198,A,0.0,0.0,OK,21,5204.241,5,0.09,Real
TEC-MA-10003173,Hewlett-Packard 300S Scientific Calculator,Technology,Machines,236,10,100,734.85,0.01,19,173424.6,pza,1089874.1300000001,0.024644720994555606,A,0.0,0.0,OK,7,131.1,2,0.03,Real
TEC-PH-10001425,Mophie Juice Pack Helium for iPhone,Technology,Phones,218,10,100,784.17,0.03,4,170949.06,pza,1260823.1900000002,0.028510297552448167,A,0.0,0.0,OK,38,1583.8020000000001,6,0.17,Real
TEC-MA-10002937,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,233,10,100,711.96,0.0,7,165886.68,pza,1426709.87,0.032261401310928174,A,0.0,0.0,OK,1,1007.979,1,0.0,Real
TEC-PH-10002115,Plantronics 81402,Technology,Phones,245,10,100,673.42,0.02,11,164987.9,pza,1591697.77,0.035992181454299076,A,0.0,0.0,OK,22,844.672,4,0.09,Real
TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,229,10,100,704.7,0.01,3,161376.3,pza,1753074.07,0.039641294484107116,A,0.0,0.0,OK,18,5999.9,4,0.08,Real
TEC-PH-10001795,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,Technology,Phones,240,10,100,654.62,0.03,5,157108.8,pza,1910182.87,0.04319390889636905,A,0.0,0.0,OK,31,6935.862,5,0.13,Real
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,224,10,100,699.43,0.01,4,156672.32,pza,2066855.1900000002,0.04673665342776713,A,0.0,0.0,OK,7,3991.98,1,0.03,Real
TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset,Technology,Accessories,221,10,100,700.49,0.04,6,154808.29,pza,2221663.48,0.050237247679595316,A,0.0,0.0,OK,54,2159.73,8,0.24,Real
TEC-AC-10000682,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Technology,Accessories,208,10,100,742.94,0.02,8,154531.52,pza,2376195.0,0.053731583484469034,A,0.0,0.0,OK,20,321.846,6,0.1,Real
TEC-PH-10002549,Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,204,10,100,752.27,0.03,16,153463.08,pza,2529658.08,0.05720175924647668,A,0.0,0.0,OK,36,3839.62,6,0.18,Real
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,201,10,100,762.3,0.03,5,153222.3,pza,2682880.38,0.06066649038349715,A,0.0,0.0,OK,33,1112.788,7,0.16,Real
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,243,10,100,622.32,0.01,9,151223.76,pza,2834104.1399999997,0.06408602964070259,A,0.0,0.0,OK,8,2519.958,1,0.03,Real
TEC-PH-10004434,Cisco IPÂ PhoneÂ 7961G VoIPÂ phoneÂ - Dark gray,Technology,Phones,201,10,100,746.85,0.01,4,150116.85,pza,2984220.9899999998,0.06748053895420612,A,0.0,0.0,OK,17,1386.69,3,0.08,Real
TEC-PH-10003535,RCA ViSYS 25423RE1 Corded phone,Technology,Phones,190,10,100,771.48,0.01,14,146581.2,pza,3130802.19,0.07079509856949597,A,0.0,0.0,OK,8,159.984,1,0.04,Real
TEC-PH-10002538,Grandstream GXP1160 VoIP phone,Technology,Phones,234,10,100,612.93,0.03,11,143425.62,pza,3274227.81,0.07403830279930107,A,0.0,0.0,OK,31,803.692,6,0.13,Real
TEC-CO-10001766,Canon PC940 Copier,Technology,Copiers,231,10,100,620.88,0.02,14,143423.28,pza,3417651.09,0.0772814541159802,A,0.0,0.0,OK,20,5669.874,3,0.09,Real
TEC-AC-10003433,Maxell 4.7GB DVD+R 5/Pack,Technology,Accessories,219,10,100,650.85,0.02,3,142536.15,pza,3560187.2399999998,0.08050454525255771,A,0.0,0.0,OK,30,11.682,5,0.14,Real
TEC-PH-10002468,"Plantronics CS 50-USB -Â headsetÂ - Convertible, Monaural",Technology,Phones,212,10,100,671.68,0.01,8,142396.16,pza,3702583.4,0.08372447087268056,A,0.0,0.0,OK,15,1332.702,4,0.07,Real
TEC-AC-10001314,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,228,10,100,613.66,0.04,8,139914.48,pza,3842497.88,0.0868882796353478,A,0.0,0.0,OK,46,1229.754,8,0.2,Real
TEC-PH-10004100,Griffin GC17055 Auxiliary Audio Cable,Technology,Phones,205,10,100,681.32,0.03,8,139670.6,pza,3982168.48,0.09004657367444219,A,0.0,0.0,OK,36,395.78,6,0.18,Real
TEC-PH-10001619,LG G3,Technology,Phones,215,10,100,649.15,0.01,19,139567.25,pza,4121735.73,0.09320253071713976,A,0.0,0.0,OK,18,1803.108,4,0.08,Real
TEC-AC-10000844,LogitechÂ Gaming G510s - Keyboard,Technology,Accessories,200,10,100,691.56,0.03,10,138312.0,pza,4260047.73,0.09633010348574836,A,0.0,0.0,OK,37,2362.7219999999998,8,0.18,Real
TEC-AC-10000387,KeyTronicÂ KT800P2 -Â KeyboardÂ - Black,Technology,Accessories,249,10,100,552.94,0.01,19,137682.06,pza,4397729.79,0.09944343176949764,A,0.0,0.0,OK,15,75.1,3,0.06,Real
FUR-TA-10002356,Bevis Boat-Shaped Conference Table,Furniture,Tables,232,5,50,588.82,0.03,19,136606.24,pza,4534336.03,0.10253243313052207,A,0.0,1.0,OK,40,2542.467,6,0.17,Real
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,230,5,50,589.85,0.02,17,135665.5,pza,4670001.53,0.10560016205816153,A,0.0,0.0,OK,24,4544.925,5,0.1,Real
TEC-PH-10002114,Xiaomi Mi3,Technology,Phones,219,10,100,619.23,0.01,13,135611.37,pza,4805612.9,0.1086666669740452,A,0.0,0.0,OK,7,2279.96,1,0.03,Real
TEC-PH-10000730,Samsung Galaxy S4 Active,Technology,Phones,218,10,100,613.19,0.0,17,133675.42,pza,4939288.32,0.11168939532317121,A,0.0,0.0,OK,6,3999.92,2,0.03,Real
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,190,10,100,702.69,0.07,5,133511.1,pza,5072799.42,0.11470840799500717,A,0.0,0.0,OK,81,13756.536,15,0.43,Real
FUR-FU-10004848,DAX Solid Wood Frames,Furniture,Furnishings,238,5,50,557.29,0.05,15,132635.02,pza,5205434.4399999995,0.1177076103542808,A,0.0,1.0,OK,57,1438.132,12,0.24,Real
TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones,169,10,100,778.69,0.01,18,131598.61,pza,5337033.05,0.12068337694736558,A,0.0,0.0,OK,18,3426.132,6,0.11,Real
TEC-PH-10002564,OtterBox Defender Series Case - Samsung Galaxy S4,Technology,Phones,224,10,100,578.01,0.03,13,129474.24,pza,5466507.29,0.12361110633643012,A,0.0,0.0,OK,34,689.77,8,0.15,Real
TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,Technology,Phones,234,10,100,549.24,0.02,14,128522.16,pza,5595029.45,0.12651730686696078,A,0.0,0.0,OK,28,699.9,5,0.12,Real
TEC-AC-10003289,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,Accessories,199,10,100,642.19,0.02,19,127795.81,pza,5722825.26,0.12940708284661748,A,0.0,0.0,OK,23,499.75,5,0.12,Real
FUR-FU-10001475,"Contract Clock, 14"", Brown",Furniture,Furnishings,245,5,50,519.16,0.01,5,127194.2,pza,5850019.46,0.13228325495203822,A,0.0,0.0,OK,15,272.552,4,0.06,Real
TEC-PH-10000586,AT&T SB67148 SynJ,Technology,Phones,189,10,100,668.39,0.01,3,126325.71,pza,5976345.17,0.1351397883733693,A,0.0,0.0,OK,9,475.128,3,0.05,Real
TEC-AC-10004992,Kingston Digital DataTraveler 64GB USB 2.0,Technology,Accessories,220,10,100,571.61,0.0,12,125754.2,pza,6102099.37,0.13798339855511896,A,0.0,0.0,OK,3,202.68,2,0.01,Real
FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furniture,Furnishings,225,5,50,558.49,0.04,8,125660.25,pza,6227759.62,0.14082488429747353,A,0.0,0.0,OK,51,45.396,7,0.23,Real
TEC-AC-10001445,ImationÂ USB 2.0 SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 4 GB - Pink,Technology,Accessories,175,10,100,715.45,0.01,9,125203.75,pza,6352963.37,0.14365604745777544,A,0.0,0.0,OK,14,30.3,2,0.08,Real
